time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
166.5,801268395578.6521,435302498410.15515,365965897168.49493,8392,21717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,1130420044048.0579,774879043165.901,355541000882.1556,8212,21680,166.9999106080659,22018,3421,8212,21680,0.3571428571428571,2.5,8.939193409673862e-5,0.567875,166.9999106080659,22018,3421,8212,21680,0.3571428571428571,2.5,8.939193409673862e-5,0.567875
167.5,1062943351356.8011,770761497178.2711,292181854178.52747,8050,21665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,1189479765749.6033,557287663391.9517,632192102357.6577,7917,21612,167.9999613457542,21391,3210,7917,21612,0.3571428571428571,2.5,3.865424579885257e-5,0.55045,167.9999613457542,21391,3210,7917,21612,0.3571428571428571,2.5,3.865424579885257e-5,0.55045
168.5,1001951378043.1317,649370625982.131,352580752061.0002,7740,21575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,625504842014.6259,382099363240.94794,243405478773.68066,7600,21526,168.99994919683738,20772,3047,7600,21526,0.3571428571428571,2.5,5.080316262251472e-5,0.534775,168.99994919683738,20772,3047,7600,21526,0.3571428571428571,2.5,5.080316262251472e-5,0.534775
169.5,641922796360.5092,385245333629.6094,256677462730.90286,7437,21443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,1070144453860.1615,653921715522.5988,416222738337.5631,7294,21358,169.99995724631293,20232,2850,7294,21358,0.3571428571428571,2.5,4.275368706885274e-5,0.5193,169.99995724631293,20232,2850,7294,21358,0.3571428571428571,2.5,4.275368706885274e-5,0.5193
170.5,714966225581.8414,389375101011.35767,325591124570.4873,7112,21280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,609297444651.9662,325612833178.6728,283684611473.29156,6939,21189,170.99966929744593,19704,2685,6939,21189,0.3571428571428571,2.5,3.307025540664199e-4,0.5058,170.99966929744593,19704,2685,6939,21189,0.3571428571428571,2.5,3.307025540664199e-4,0.5058
171.5,574359799391.6213,370184233502.25946,204175565889.3594,6771,21068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,546841397727.71173,313252819373.5613,233588578354.15067,6615,20932,171.99973614296866,19262,2477,6615,20932,0.3571428571428571,2.5,2.638570313422406e-4,0.4926,171.99973614296866,19262,2477,6615,20932,0.3571428571428571,2.5,2.638570313422406e-4,0.4926
172.5,589535957735.0531,358944914824.20056,230591042910.85297,6505,20782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,595130911259.0795,391595333797.72906,203535577461.35236,6386,20598,172.9996739765608,18824,2287,6386,20598,0.3571428571428571,2.5,3.26023439185974e-4,0.48155,172.9996739765608,18824,2287,6386,20598,0.3571428571428571,2.5,3.26023439185974e-4,0.48155
173.5,543773365722.90796,321501872599.32935,222271493123.57904,6173,20523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,486478619603.48566,262011404581.8284,224467215021.65866,6026,20391,173.99925287963922,18443,2124,6026,20391,0.3571428571428571,2.5,7.471203607849475e-4,0.4706,173.99925287963922,18443,2124,6026,20391,0.3571428571428571,2.5,7.471203607849475e-4,0.4706
174.5,465112937352.41455,284780004980.47235,180332932371.94202,5863,20240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,511898910746.4978,297073150130.5787,214825760615.91946,5701,20067,174.99996063854516,18039,2029,5701,20067,0.3571428571428571,2.5,3.936145483862674e-5,0.461075,174.99996063854516,18039,2029,5701,20067,0.3571428571428571,2.5,3.936145483862674e-5,0.461075
175.5,505927326148.5645,224645955450.7717,281281370697.7943,5535,19907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,515822612487.1999,335142754925.87897,180679857561.3217,5403,19719,175.9977721317151,17706,1864,5403,19719,0.3571428571428571,2.5,0.00222786828490484,0.450975,175.9977721317151,17706,1864,5403,19719,0.3571428571428571,2.5,0.00222786828490484,0.450975
